id,BNID,FNID,lane_type,p1,p2,hdg,length,speed,motion_type,obstacle_avoid,qr_code,infrared,heading,extra_cost,avoid_level,group_id,zone_id
29,73,78,line,0,0,0,19,0.6,1,1,1,1,1,0,0,0,0
30,75,76,line,0,0,0,12,0.6,1,1,1,1,1,0,0,0,0
31,76,16,line,0,0,0,6.35,0.6,1,1,1,1,1,0,0,0,0
32,16,17,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
33,17,77,line,0,0,0,3.27,0.6,1,1,1,1,1,0,0,0,0
34,78,21,line,0,0,0,3.7,0.6,1,1,1,1,1,0,0,0,0
35,21,20,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
36,20,19,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
37,19,18,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
38,18,77,line,0,0,0,1.83,0.6,1,1,1,1,1,0,0,0,0
39,78,22,line,0,0,0,1.9,0.2,1,1,1,1,1,0,0,0,1
40,22,23,line,0,0,0,2.3,0.2,1,1,1,1,1,0,0,0,1
41,23,24,line,0,0,0,2.3,0.2,1,1,1,1,1,0,0,0,1
42,24,25,line,0,0,0,2.3,0.2,1,1,1,1,1,0,0,0,1
43,78,82,line,0,0,0,19.3,0.6,1,1,1,1,1,0,0,0,0
44,81,77,line,0,0,0,19.3,0.6,1,1,1,1,1,0,0,0,0
45,76,80,line,0,0,0,19.3,0.6,1,1,1,1,1,0,0,0,0
46,79,75,line,0,0,0,19.3,0.6,1,1,1,1,1,0,0,0,0
47,80,29,line,0,0,0,3.3,0.6,1,1,1,1,1,0,0,0,0
